AccountDesc,AccountID,ActionTS,ActionType,BatchID,CA_B_ID,C_ID,EffectiveDate,EndDate,SK_CustomerID,Status,TaxStatus,fakesk,isCurrent
QfGNdiMERNAVFQPQFAKsKWelDhjLHhgQZBTssRZTss,11,2007-07-21T16:03:01,UPDACCT,1,11879,11,2007-07-21,2007-08-03,1283,INACTIVE,1,45,false
QfGNdiMERNAVFQPQFAKsKWelDhjLHhgQZBTssRZTss,11,2007-08-03T18:14:18,CLOSEACCT,1,11879,11,2007-08-03,9999-12-31,1283,INACTIVE,1,97,true
ryheEMXIGKPPIHYJJnPiQwvrUqoQKH FdingOpVYtD,12,2007-07-13T02:51:27,NEW,1,864,12,2007-07-13,2007-07-22,283,ACTIVE,1,13,false
ryheEMXIGKPPIHYJJnPiQwvrUqoQKH FdingOpVYtD,12,2007-07-22T19:10:04,CLOSEACCT,1,864,12,2007-07-22,9999-12-31,283,INACTIVE,1,51,true
XcECvSAGJcgPvBbBtIZLUyELzKxAKNcfQasKlS,13,2007-07-13T06:05:39,NEW,1,6929,13,2007-07-13,2007-07-29,1382,ACTIVE,2,14,false
XcECvSAGJcgPvBbBtIZLUyELzKxAKNcfQasKlS,13,2007-07-29T13:11:27,UPDACCT,1,1492,13,2007-07-29,2007-08-13,1382,ACTIVE,2,75,false
XcECvSAGJcgPvBbBtIZLUyELzKxAKNcfQasKlS,13,2007-08-13T05:42:06,CLOSEACCT,1,1492,13,2007-08-13,9999-12-31,1382,INACTIVE,2,134,true
dbsOWBJCsvjzrBJRTAQ PixQGHoxsDRmxIzNVQzHMOtH,14,2007-07-13T08:21:39,NEW,1,451,14,2007-07-13,2007-07-20,2448,ACTIVE,2,15,false
IEoyhhTAxtLiePsvCZRcQANGtJJzqhcPDUVNGoCktH,14,2007-07-20T21:05:21,UPDACCT,1,451,14,2007-07-20,9999-12-31,2448,ACTIVE,1,42,true
"",15,2007-07-14T00:17:57,NEW,1,10426,15,2007-07-14,2007-07-26,2880,ACTIVE,1,16,false
"",15,2007-07-26T12:53:53,CLOSEACCT,1,10426,15,2007-07-26,9999-12-31,2880,INACTIVE,1,64,true
dFUR GKSWBLWWfLNkMNmgrMktKyLoVaniwoMT uCyoBuZd,16,2007-07-14T06:56:41,NEW,1,13066,16,2007-07-14,2007-10-15,2738,ACTIVE,1,17,false
dFUR GKSWBLWWfLNkMNmgrMktKyLoVaniwoMT uCyoBuZd,16,2007-10-15T23:50:40,CLOSEACCT,1,13066,16,2007-10-15,9999-12-31,2738,INACTIVE,1,389,true
RPAhHPxoqZNpNJdsQJwyTjIvKlcgShksFPya jSr JNoRm,17,2007-07-15T00:05:45,NEW,1,5309,17,2007-07-15,2007-07-19,1886,ACTIVE,1,18,false
kMzYJLSRqxwOLgOvD fbPPUAGQczRiR zjRXJWoiE,17,2007-07-19T21:51:23,UPDACCT,1,14738,17,2007-07-19,2007-09-23,1886,ACTIVE,1,39,false
OqeltMhyIJfBgzYfRWfWFqJUSQssbaYW,17,2007-09-23T04:36:38,UPDACCT,1,14110,17,2007-09-23,2007-12-21,3173,ACTIVE,1,299,false
olStcerwKpsCfrRfqKFzcXhRXPcBmDPBRqVZPM,17,2007-12-21T03:12:51,UPDACCT,1,5537,17,2007-12-21,9999-12-31,3173,ACTIVE,1,655,true
vK FcKnxHFwIBGNHnEIxUYIvSGtzTnBxLIVKaGT,18,2007-07-15T05:13:54,NEW,1,13715,18,2007-07-15,2007-07-31,2808,ACTIVE,1,19,false
UlUTvXfTTVkzBwJrCTPHEPjZppXxNww dSkTmH,18,2007-07-31T05:58:43,UPDACCT,1,13715,18,2007-07-31,2008-02-20,3663,ACTIVE,1,82,false
UlUTvXfTTVkzBwJrCTPHEPjZppXxNww dSkTmH,18,2008-02-20T19:14:30,CLOSEACCT,1,13715,18,2008-02-20,9999-12-31,3663,INACTIVE,1,899,true
dPNTixFwTKLkqookrExDxkKJaEWjDgBCJAHOoVmKAZq,19,2007-07-15T12:25:10,NEW,1,1529,19,2007-07-15,2007-10-30,4187,ACTIVE,2,20,false
dvwPRSSNkcORNyHCFFdBGxImDIOwqXHLpBSuAIGASzs,19,2007-10-30T17:54:26,UPDACCT,1,1529,19,2007-10-30,2007-12-09,4187,ACTIVE,2,445,false
KdcVESFHsqJeoOiwhMxlhhNs PTaIC,19,2007-12-09T02:03:32,UPDACCT,1,3753,19,2007-12-09,2008-07-06,4187,ACTIVE,1,609,false
KdcVESFHsqJeoOiwhMxlhhNs PTaIC,19,2008-07-06T12:36:24,CLOSEACCT,1,3753,19,2008-07-06,9999-12-31,3365,INACTIVE,1,1444,true
UoqgHfiFWxFjERUeJbFXYoDuIBQ IKsjvy,20,2007-07-15T14:36:45,NEW,1,946,20,2007-07-15,2007-08-08,3910,ACTIVE,2,21,false
swuLhTYHDKRdBSrjvOWNEirHDJvdKBBUKYDgJBDSQFHwDoXI,20,2007-08-08T19:44:45,UPDACCT,1,195,20,2007-08-08,2007-09-29,3910,ACTIVE,1,117,false
swuLhTYHDKRdBSrjvOWNEirHDJvdKBBUKYDgJBDSQFHwDoXI,20,2007-09-29T05:35:43,CLOSEACCT,1,195,20,2007-09-29,9999-12-31,3910,INACTIVE,1,323,true
YTNXhQsyxqppiEjJIWpGqNmCOLIKzpuxpGmgY,21,2007-07-15T23:04:58,NEW,1,7878,21,2007-07-15,2007-08-12,2710,ACTIVE,1,22,false
YTNXhQsyxqppiEjJIWpGqNmCOLIKzpuxpGmgY,21,2007-08-12T02:41:37,CLOSEACCT,1,7878,21,2007-08-12,9999-12-31,2710,INACTIVE,1,130,true
YDEyaZXtZdBBYQCMJzwVAhaajrhGkptPFpaJ E,22,2007-07-16T11:34:26,NEW,1,10750,22,2007-07-16,2007-08-22,2562,ACTIVE,1,24,false
YDEyaZXtZdBBYQCMJzwVAhaajrhGkptPFpaJ E,22,2007-08-22T19:08:50,CLOSEACCT,1,10750,22,2007-08-22,9999-12-31,2563,INACTIVE,1,176,true
Wm QNCxkoKnK FyPNRJXzbHSdwITMEEPbaSTGuaT,23,2007-07-16T23:01:18,NEW,1,6759,23,2007-07-16,2007-08-18,5981,ACTIVE,2,25,false
Wm QNCxkoKnK FyPNRJXzbHSdwITMEEPbaSTGuaT,23,2007-08-18T19:57:34,CLOSEACCT,1,6759,23,2007-08-18,9999-12-31,5595,INACTIVE,2,157,true
mWCuERgFCBaisZUMGiIzrNLnNiSIsbEoCPa,24,2007-07-17T06:40:46,NEW,1,12626,24,2007-07-17,2007-07-31,1621,ACTIVE,1,27,false
LyEwXnQdKBMqqI KdDxKdBXAAHGpVZud,24,2007-07-31T12:38:35,UPDACCT,1,12626,24,2007-07-31,2007-09-18,1621,ACTIVE,1,84,false
LyEwXnQdKBMqqI KdDxKdBXAAHGpVZud,24,2007-09-18T17:11:57,CLOSEACCT,1,12626,24,2007-09-18,9999-12-31,1622,INACTIVE,1,283,true
PLhJJUBrQnMMMKzYqBhVFzMswJtRCMamtLVd,25,2007-07-17T15:40:43,NEW,1,7932,25,2007-07-17,2007-09-24,3703,ACTIVE,1,28,false
PLhJJUBrQnMMMKzYqBhVFzMswJtRCMamtLVd,25,2007-09-24T05:35:47,CLOSEACCT,1,7932,25,2007-09-24,9999-12-31,2640,INACTIVE,1,302,true
EzgfFQPBOTtPlPOtQxNmcKIKIGsIVRAAkCdQxIUVUNFTQMj,26,2007-07-18T03:03:36,NEW,1,10887,26,2007-07-18,2008-01-06,417,ACTIVE,2,30,false
EzgfFQPBOTtPlPOtQxNmcKIKIGsIVRAAkCdQxIUVUNFTQMj,26,2008-01-06T11:15:03,CLOSEACCT,1,10887,26,2008-01-06,9999-12-31,417,INACTIVE,2,718,true
DuPCPkSFIIRMCXGbuHPDxUARJSMdOL,27,2007-07-18T05:47:51,NEW,1,1621,27,2007-07-18,2007-08-06,4257,ACTIVE,2,31,false
bHvVnMKPIuyAwlytACJajThNAVtvuDcLfrHZKPxkdhXW,27,2007-08-06T15:21:01,UPDACCT,1,10058,27,2007-08-06,2007-10-28,4257,ACTIVE,1,108,false
xbXLHHRfUIvnsBLZbDhokzihKLwLMZiO,27,2007-10-28T04:47:17,UPDACCT,1,12930,27,2007-10-28,2010-08-24,4257,ACTIVE,1,437,false
CHRvVsiQvfonJwwgDEBzEnKinjzSeMcdQrLhZggrtyOcqBbZYE,27,2010-08-24T23:22:40,UPDACCT,1,12930,27,2010-08-24,2013-06-08,4257,ACTIVE,1,4554,false
CHRvVsiQvfonJwwgDEBzEnKinjzSeMcdQrLhZggrtyOcqBbZYE,27,2013-06-08T22:09:53,CLOSEACCT,1,12930,27,2013-06-08,9999-12-31,4257,INACTIVE,1,8624,true
bJeiOxonRAUhXPEjqIYQmpvFawtHiFqRVDlapzT,28,2007-07-18T16:31:39,NEW,1,4159,28,2007-07-18,2013-06-11,6256,ACTIVE,1,34,false
EtdyPISbxdKhVFmITNHKuYFJJUJXIczHt,28,2013-06-11T09:53:28,UPDACCT,1,5582,28,2013-06-11,9999-12-31,6256,ACTIVE,1,8634,true
FGGHbNPAHEGKCrFZVqmtSkNFjUpBXPw B,29,2007-07-19T11:52:46,NEW,1,13575,29,2007-07-19,2007-07-24,2186,ACTIVE,1,37,false
BvmSqtEwCIpFhIJOtrFVVCHjETiMXwEDsItOGEKuwHUgtj,29,2007-07-24T18:44:38,UPDACCT,1,13575,29,2007-07-24,2007-08-19,2186,ACTIVE,1,57,false
mrDOgqryPNTQiSQsqEKXdGRDX nfVZPTIPY,29,2007-08-19T15:37:43,UPDACCT,1,10941,29,2007-08-19,2007-09-02,2186,ACTIVE,1,160,false
mrDOgqryPNTQiSQsqEKXdGRDX nfVZPTIPY,29,2007-09-02T09:18:53,CLOSEACCT,1,10941,29,2007-09-02,9999-12-31,2186,INACTIVE,1,216,true
Ymleq FXgEZrKymKbRzvJsBYnuAiwHGoAMzgEHl,30,2007-07-19T12:48:01,NEW,1,14796,30,2007-07-19,2007-07-28,2464,ACTIVE,1,38,false
Ymleq FXgEZrKymKbRzvJsBYnuAiwHGoAMzgEHl,30,2007-07-28T20:21:45,CLOSEACCT,1,14796,30,2007-07-28,9999-12-31,2464,INACTIVE,1,73,true
SBujiXiyqeLDdQHxlCabFTplbrYwXcMRNAbKfeJYDpFQzO,31,2007-07-20T06:36:07,ADDACCT,1,14632,9,2007-07-20,2007-08-08,3849,ACTIVE,0,40,false
SBujiXiyqeLDdQHxlCabFTplbrYwXcMRNAbKfeJYDpFQzO,31,2007-08-08T00:57:01,CLOSEACCT,1,14632,9,2007-08-08,9999-12-31,3849,INACTIVE,0,115,true
CPTFoFIxlHyLKIKhqOWnzmXAHuciUIjVsCWg,32,2007-07-20T15:51:18,ADDACCT,1,10852,7,2007-07-20,2007-10-08,3327,ACTIVE,1,41,false
NJUOWGfT TMVhVIGZHFT uugGzkcBqtVmjN,32,2007-10-08T01:11:43,UPDACCT,1,3678,7,2007-10-08,2008-12-31,3327,ACTIVE,1,358,false
hQPXBMEOnYbUEuUsQmFOQmubNBDiUKFwDHdzmBRvHb,32,2008-12-31T03:58:48,UPDACCT,1,3678,7,2008-12-31,2009-02-26,3328,INACTIVE,1,2151,false
tRPOwFCQKOOGYMm LtLmctHESqIoRAXqPfPsyatlVdLRF,32,2009-02-26T16:09:33,UPDACCT,1,7598,7,2009-02-26,9999-12-31,3328,INACTIVE,1,2385,true
qWsHyIzXDNMwuXyBOMYRsItUKxQRfo,33,2007-07-21T04:34:15,ADDACCT,1,5306,5,2007-07-21,2007-11-26,2444,ACTIVE,2,43,false
qWsHyIzXDNMwuXyBOMYRsItUKxQRfo,33,2007-11-26T03:29:37,CLOSEACCT,1,5306,5,2007-11-26,9999-12-31,2445,INACTIVE,2,552,true
BMBdEiGwcTCOKyGCDPRLyvF ZEpnTdMArDl,34,2007-07-21T12:17:24,ADDACCT,1,837,3,2007-07-21,2007-08-03,1329,ACTIVE,1,44,false
ZMxMENneoOAfOFOvJEsusiJtRTSLkTwFigB,34,2007-08-03T21:19:45,UPDACCT,1,2761,3,2007-08-03,2007-08-17,1329,ACTIVE,1,99,false
GOCoYisNLYaFegBpDgWiBQdRAowskRvHwNQZ loXS,34,2007-08-17T16:22:37,UPDACCT,1,2761,3,2007-08-17,2009-10-03,1329,ACTIVE,1,152,false
PhgRYiBTRTBNHFwvFIeXNeSQCmhooKBrkjKHTGExFEZLCSLeI,34,2009-10-03T19:32:34,UPDACCT,1,11828,3,2009-10-03,9999-12-31,2556,ACTIVE,2,3259,true
nDFyJJlVxQrNWgSrMoEFAJisakJiTStcLwIsiIWRCNLyguBC,35,2007-07-21T16:28:29,ADDACCT,1,8864,1,2007-07-21,2007-07-25,3868,ACTIVE,1,46,false
telBcGRbVh HdhZqsRZ kdFCvTzoEqvTgyQOGIuBWt,35,2007-07-25T10:30:24,UPDACCT,1,7311,1,2007-07-25,2014-01-30,3868,ACTIVE,1,59,false
PltzuoLULcDmVEIAltUcHVDLmhQdTfOuzTJFRpCuceJtQNw,35,2014-01-30T00:55:08,UPDACCT,1,7311,1,2014-01-30,9999-12-31,1715,ACTIVE,1,9563,true
TVjvitbkefoHFTCJhQKnCMQgtLGOISC,36,2007-07-21T21:06:39,ADDACCT,1,10794,19,2007-07-21,2009-05-22,4187,ACTIVE,1,47,false
lNuagfDllerF fSHTALPahDLBGCBxdVdvHBK,36,2009-05-22T14:13:25,UPDACCT,1,3385,19,2009-05-22,2013-05-25,3365,ACTIVE,1,2722,false
lUOvOcLLgySdDCbuXCjMkrGBRPMKCMGiKQkkowNJyZKVqRne,36,2013-05-25T00:47:54,UPDACCT,1,7301,19,2013-05-25,9999-12-31,1972,INACTIVE,1,8564,true
KCCHaFWqkLzhMHMxGcpBHBJbtYZMtFNHGAPjFHA,37,2007-07-22T14:09:27,ADDACCT,1,13827,17,2007-07-22,2007-10-24,1886,ACTIVE,1,49,false
PtKEPwWMrPONIQgVIjMEVktAULIeSNwijBRMXTmKR,37,2007-10-24T15:35:34,UPDACCT,1,6281,17,2007-10-24,2008-12-04,3173,ACTIVE,2,424,false
YCexBJuQPTWBeFUGafaCdUzHzrDnvbylVAsUDLbtiTDJcMGYNS,37,2008-12-04T20:11:51,UPDACCT,1,7636,17,2008-12-04,2011-12-11,3173,ACTIVE,2,2047,false
YCexBJuQPTWBeFUGafaCdUzHzrDnvbylVAsUDLbtiTDJcMGYNS,37,2011-12-11T07:50:31,UPDACCT,1,2713,17,2011-12-11,9999-12-31,668,ACTIVE,2,6447,true
JhZIaqwByxfXoNZ GYmOzBQkMKuMyTQt yEhinvVsMiEiQO,38,2007-07-22T17:32:54,ADDACCT,1,901,15,2007-07-22,2007-08-06,2880,ACTIVE,1,50,false
JhZIaqwByxfXoNZ GYmOzBQkMKuMyTQt yEhinvVsMiEiQO,38,2007-08-06T08:11:06,CLOSEACCT,1,901,15,2007-08-06,9999-12-31,2880,INACTIVE,1,106,true
EEMyickTOoaINqpiFMmWcTAJAhCxEVmveVRyVhOTYOb,39,2007-07-23T02:13:47,ADDACCT,1,8980,13,2007-07-23,2007-08-29,1382,ACTIVE,1,52,false
EEMyickTOoaINqpiFMmWcTAJAhCxEVmveVRyVhOTYOb,39,2007-08-29T10:28:00,CLOSEACCT,1,8980,13,2007-08-29,9999-12-31,1382,INACTIVE,1,198,true
aUpPpHR buMzXGiBfwCRgTgokQAZqF,40,2007-07-23T13:52:39,ADDACCT,1,4292,0,2007-07-23,2007-07-27,734,ACTIVE,1,53,false
hUFRHGwKYPyPYmKONDqWRcEPBvEjEhvTePKUnckak,40,2007-07-27T01:00:03,UPDACCT,1,4292,0,2007-07-27,2007-11-30,734,ACTIVE,1,66,false
UAIldAoGirNtrDZzShqNSmTQwVPNkDwRcPOCMmQTsUqw MYJJ,40,2007-11-30T21:37:00,UPDACCT,1,154,0,2007-11-30,2015-07-24,3854,INACTIVE,1,573,false
UAIldAoGirNtrDZzShqNSmTQwVPNkDwRcPOCMmQTsUqw MYJJ,40,2015-07-24T03:05:13,CLOSEACCT,1,154,0,2015-07-24,9999-12-31,3854,INACTIVE,1,11719,true
KzvPHQJMESGcfQPvwQEnmbtUOmnUFMjzVfAwkC,41,2007-07-24T10:25:05,NEW,1,10092,31,2007-07-24,2008-09-16,3061,ACTIVE,1,56,false
MkEShLnjVjaMSdNnIXHFCBcMozFuoPBbVPhM,41,2008-09-16T07:23:35,UPDACCT,1,908,31,2008-09-16,2013-06-23,1355,ACTIVE,1,1731,false
NWKMTVFXJldKCqHmhFmdVhkSDYfCuPAOz,41,2013-06-23T07:54:30,UPDACCT,1,908,31,2013-06-23,9999-12-31,1356,INACTIVE,1,8680,true
hhjROUKtvfMKkNCaYNyeVGPxFsIWfTFeNlfDXBXpzQAPTSs,42,2007-07-25T01:28:32,NEW,1,13851,32,2007-07-25,9999-12-31,2534,ACTIVE,1,58,true
MHdCcBGaXASXcLzDMXG rklPVcVoR R,43,2007-07-25T10:31:25,NEW,1,5183,33,2007-07-25,2007-08-25,5263,ACTIVE,1,60,false
f ZWinQyKRFluRNfXXCHYQioHTWFkzrgTvYHYnKKVF,43,2007-08-25T04:00:05,UPDACCT,1,10037,33,2007-08-25,2008-01-19,5264,INACTIVE,2,183,false
f ZWinQyKRFluRNfXXCHYQioHTWFkzrgTvYHYnKKVF,43,2008-01-19T08:09:56,CLOSEACCT,1,10037,33,2008-01-19,9999-12-31,5264,INACTIVE,2,770,true
VLRxwKJyvLGXXTbVNHFTQFRQhTqRIgluTWDJmCCU BG,44,2007-07-25T12:45:37,NEW,1,3607,34,2007-07-25,2007-08-13,588,ACTIVE,1,61,false
ZYUwkKnPsQEeTrbdyBwdNBMKZbrIU AvlAPVJ,44,2007-08-13T18:46:40,UPDACCT,1,12722,34,2007-08-13,9999-12-31,588,ACTIVE,1,137,true
cLMxDUmySdTeMxoybQpqXEcMAETazlKXxQKVDpXSTSGJe,45,2007-07-26T06:08:33,NEW,1,10378,35,2007-07-26,2013-08-20,1941,ACTIVE,1,63,false
BcRTMxfjoeCUJpumyQKMQnRvFKLgzlQKHQwAGdLY OaX,45,2013-08-20T06:10:07,UPDACCT,1,7608,35,2013-08-20,9999-12-31,1942,INACTIVE,2,8913,true
wxRqwKRgVQiBJloZvQHUIdzWr SMNr,46,2007-07-26T21:55:40,NEW,1,4565,36,2007-07-26,2007-08-02,4005,ACTIVE,2,65,false
PQdNUcVMzwDnAuGNmDHVNnEQWVFREtaQYSQUJukI,46,2007-08-02T13:43:53,UPDACCT,1,4565,36,2007-08-02,2010-01-07,4005,ACTIVE,1,92,false
VeOGCXX reuBoVIGtaNaPyEOEVsCfL,46,2010-01-07T23:08:42,UPDACCT,1,4565,36,2010-01-07,9999-12-31,69,ACTIVE,1,3641,true
VGlcKMDScVfecRiUkyhqwEcMIsIuFPXrxeVCWAnvrFKSTFd,47,2007-07-27T05:51:28,NEW,1,10211,37,2007-07-27,2007-08-24,2732,ACTIVE,1,67,false
QSTKwbRdizKTXISYCFEeOyFdb dIkjam,47,2007-08-24T00:18:24,UPDACCT,1,11913,37,2007-08-24,2007-09-22,1496,ACTIVE,1,179,false
CjxLIRYQskndzpYJiIEuhlInmUSLEKGLCyvt,47,2007-09-22T00:30:40,UPDACCT,1,11913,37,2007-09-22,2007-10-16,1496,ACTIVE,1,294,false
qiLABAukMARI SXKbpMgwDAomc D nGPDZzYYH,47,2007-10-16T08:44:14,UPDACCT,1,2965,37,2007-10-16,2007-10-20,866,ACTIVE,1,390,false
UogIMFfdWjqNTzBrJOHAUS AMJMTWH,47,2007-10-20T06:46:03,UPDACCT,1,4402,37,2007-10-20,9999-12-31,866,ACTIVE,1,403,true
CcSeGGRMIABynsFCxXwCNIsdFsKdpagsuTDV PXQUJ,48,2007-07-27T10:52:29,NEW,1,8198,38,2007-07-27,2007-10-21,2903,ACTIVE,1,68,false
CcSeGGRMIABynsFCxXwCNIsdFsKdpagsuTDV PXQUJ,48,2007-10-21T07:35:59,UPDACCT,1,11681,38,2007-10-21,2008-02-15,6338,ACTIVE,1,408,false
HGdxHuDnRDOvezNExCzwbeVJkbHhFiFiZCdACQVBAjfi,48,2008-02-15T03:32:09,UPDACCT,1,6172,38,2008-02-15,2008-04-27,6338,ACTIVE,2,877,false
KHKtGTPRxTHxVuJlXbKDr HgGSqbAqjsAb,48,2008-04-27T06:24:15,UPDACCT,1,11245,38,2008-04-27,2013-10-22,6338,ACTIVE,2,1164,false
wgLbVQBLnymyHvRxDVqaSTPrJTrHPqOOVDiHAVBQKO dE,48,2013-10-22T17:17:12,UPDACCT,1,3460,38,2013-10-22,9999-12-31,3640,INACTIVE,1,9166,true
MTFZtfVwtSJVLweBjlFtSSCMvQrWXQKPSyokLpTLjgyVYInXp,49,2007-07-27T19:14:09,NEW,1,13541,39,2007-07-27,2007-08-18,6344,ACTIVE,0,69,false
MTFZtfVwtSJVLweBjlFtSSCMvQrWXQKPSyokLpTLjgyVYInXp,49,2007-08-18T14:05:52,UPDACCT,1,1004,39,2007-08-18,2010-03-06,6344,ACTIVE,0,156,false
aKgDzTGdjKPsHWMQUTBJBSUFTCpOfqRNZAvTFmbGD,49,2010-03-06T15:54:19,UPDACCT,1,1004,39,2010-03-06,2012-02-02,6344,ACTIVE,0,3874,false
LeukUlrMGBWHBPaztzxcQkLxkQsGgkH,49,2012-02-02T14:39:40,UPDACCT,1,2744,39,2012-02-02,9999-12-31,6344,ACTIVE,0,6662,true
CddrEzyNqVTYgyIJxQmJlUjsLVBlcIGaOPC GPT NI,50,2007-07-27T19:19:00,NEW,1,35,40,2007-07-27,2007-10-22,5965,ACTIVE,1,70,false
yXZgRIxMsQmDLvnBkdACAVCPUdJ QiPFBIDIGlUwLbdiPqLIAH,50,2007-10-22T20:40:16,UPDACCT,1,13087,40,2007-10-22,2008-03-27,5966,INACTIVE,1,416,false
