"SK_CompanyID","CompanyID","Status","Name","Industry","SPrating","isLowGrade","CEO","AddressLine1","AddressLine2","PostalCode","City","StateProv","Country","Description","FoundingDate","IsCurrent","BatchID","EffectiveDate","EndDate"
"21","124","Active    ","lRFFxbuSdaaOoGESnCUfCnNBiAPfzULXLkvvOKypCeBBGHyQXbghJLPQpGBX","Regional Banks                                    ","BB- ","True","Lavoy                                                                                               ","15661 Hildebrand Way                                                            ","                                                                                ","78728       ","Waterbury                ","NC                  ","United States of America","cGVsdZneExxvhQBkMaYHiBRbpjcqpw YoBEyhBUgNfgUgoaHvMdvbNlEvxzLmRTBBtbH                                                                                  ","1883-09-04T00:00:00.0000000","True","1","1969-03-29T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"22","8","Inactive  ","AYrIhMoBIgUBkRdxKABPjIIShjxFyaWTAsK                         ","Air Courier                                       ","B-  ","True","Schindele                                                                                           ","9592 Carlingford Court                                                          ","                                                                                ","91910       ","Jersey City              ","NJ                  ","United States of America","CubhsavcGhxQbtcjOHVewfWPlDftSehpfEaHdXptufiuxQkpsXSswfCIUVhsrUlpFUeJJmHXvwJSJmWDfQHgWXqoYoIZRhlmU ZARuVfVQZATCT rMttK                                 ","1885-09-18T00:00:00.0000000","True","1","1969-03-30T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"23","9","Active    ","zZCyFkqieiPsUGvBJwvhXNW                                     ","Auto & Truck Parts                                ","AA- ","True","Kalafut                                                                                             ","1427 Addax Lane                                                                 ","                                                                                ","V6W 1U2     ","Berkeley                 ","Nova Scotia         ","United States of America","kHAfHUvzVZKjUOvZcFghDkcCDsFjH                                                                                                                         ","1967-04-03T00:00:00.0000000","True","1","1968-06-20T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"24","110","Active    ","WFYoXJTwetIPrSRgPIQQFQDWIJGHMRnFFxMqbJlSjGJyqINQxxHNlwcS    ","Rental & Leasing                                  ","BB  ","True","Ekdahl                                                                                              ","18842 Plumb South                                                               ","                                                                                ","89506       ","Quebec                   ","MS                  ","                        ","IYvRRDHpKqvdJbAJTqZJvyOTeNBWOcPQZnuUEODFTElDSjVtfFHyHWBAlBQREGSiIMSvBZNynPYcTqHiaqLEPGjNQpd wltFrR                                                    ","1875-05-28T00:00:00.0000000","True","1","1968-06-21T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"25","109","Active    ","oVQZHHoeJFAibcCaYAEJISAPBzZqljSYmfyIwwdpzDs                 ","Regional Banks                                    ","CCC+","True","Thomas                                                                                              ","21818 Palm West                                                                 ","                                                                                ","V6Y 1S6     ","Little Rock              ","HI                  ","United States of America","DQQBtWegFSxXCwljhoyJoc cuKwGlwdSmlHQKVodwCblXDWOXbGufKZJNqGXuLa XpxqgkJBTSueVEFwAJBWnR RRy mKdHjGGJWBTdBEGMt QBdcoZY                                  ","null","True","1","1968-06-22T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"26","108","Active    ","tVwRqtyZnGGmzjRUwFjQ                                        ","Aerospace & Defense                               ","A-  ","True","Cestone                                                                                             ","4159 Gemini Lane                                                                ","                                                                                ","H2F 1V3     ","Fort Collins             ","MS                  ","United States of America","QuazN pJUkYMeZaMzEKTYHe XUGoqUtJQzPiGSuGTMOEcfxEIvAhFetKV iwkeaSJYoVKTgzcJued rYMDtTgPEnTAFUSyEVGLYAIuZUhIlDTEuJncbfBJEOnJTGF                         ","1956-01-19T00:00:00.0000000","True","1","1968-06-28T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"27","107","Active    ","mPMQctNfdlYBGEJcUJMKsAYRADEUETYwjTnFsJLBCbNRKrGOaMiTuCx     ","Railroads                                         ","BB- ","True","Stecker                                                                                             ","24199 Fournier Crescent                                                         ","                                                                                ","V6D 1T3     ","San Diego                ","WV                  ","United States of America","EBBFMwtHVBdWhvGkfIJZNSgkpTNL DlFaSxbJupEmiTafyrpDhNVVVZsPtjeIxnHBCUlcKTQNBCZljEKUjHxrcvZENciwVtvErgrvVbgTFZTgHDpEfmnRydPnoYU                          ","1922-11-30T00:00:00.0000000","True","1","1968-06-28T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"28","106","Active    ","XUUnTsXPEMNKfGFLNSCxNBJWLSEC                                ","Major Drugs                                       ","ot  ","True","Debusk                                                                                              ","6526 Snyder Rue                                                                 ","                                                                                ","70805       ","Vallejo                  ","WI                  ","United States of America","I MdYvKFNFN JIEcvfoMdAzfYrnDHRLmPFwERGZeCjcRvzmJEZSMNOgPPAKQHDrurlvfQMVIv oBTMiqhXDpTkbEYWRFFNJtPKCHaQzoUSLvT                                         ","1923-09-08T00:00:00.0000000","True","1","1968-06-30T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"29","70","Inactive  ","KCkPotwrqSQFGNsyRmfAqMDPgLswKnMFgi                          ","Beverages (Non-Alcoholic)                         ","A   ","True","Johnson                                                                                             ","21049 Chadbourne Avenue                                                         ","                                                                                ","X1G 1S1     ","Tulsa                    ","ID                  ","                        ","JBdKZwdpwPJTEcQmiMkAkoaDBPcdflXkyNfENJMpPNPyOAFEqvFzpojXFvspIfrEo                                                                                     ","1858-05-19T00:00:00.0000000","True","1","1968-06-30T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"30","1","Active    ","TGfFOOldnTHLjuAaQqJBgbibktVyiLStkrLCynHAZNCp                ","Metal Mining                                      ","BB  ","True","Schrupp                                                                                             ","18065 Four Points Drive                                                         ","Apt. 398                                                                        ","T5C 1T1     ","Atlanta                  ","Nova Scotia         ","United States of America","CDQRuWjWYOxAXaxBmtiD ZsEcVdDdKZ gRBLzFSDejX UcSmRApkRBipTTGkWs hZqXkpvMsXFziJURrJLjfXBNHbnq XJUUkgfXRHUBMTsHGYahLMAHmNOUTAKAh fHaTI                   ","1854-02-08T00:00:00.0000000","True","1","1967-01-03T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"31","2","Active    ","jRhDJJDxLPxUEMMpdhzdZNqRVTuzMCrlMcwMsdHNvIEBwDfErPG         ","Broadcasting & Cable TV                           ","AA+ ","True","Setera                                                                                              ","5397 Gessner Drive                                                              ","                                                                                ","37933       ","Stamford                 ","CO                  ","Canada                  ","NWRSuluTBHdsBdoLBKORDOmaM MNCKssPPBLngSJOOhjvUhajRiEREVEnOVZIAVHgkYzJELLsIQrJlCXSFJGZBhBsFFNQUbiFRsIoHcahXzFnOBRPFJwSkAZCwHYONWl                      ","1921-03-28T00:00:00.0000000","True","1","1967-01-03T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"32","3","Active    ","RICOfhFDpPHwKRHsmPHYTpTzGDeJMQruPEEdPICrMiweHGwOFQYNoQXZWIjN","Tires                                             ","A   ","True","Dorsett                                                                                             ","2387 Halle Lower                                                                ","                                                                                ","E7O 1I5     ","Elizabeth                ","Alberta             ","United States of America","EknTgdSRAbcjFnBQGkGhZwYKmsR DUnJcPlOMlLRcusE                                                                                                          ","1930-03-28T00:00:00.0000000","True","1","1967-01-04T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"33","4","Active    ","gIOONPxnQUwBdFNEMLBUXdUbFPDWDVOVnWIIMRpOMbaMGipmCAICpjncsHs ","Retail (Grocery)                                  ","FZ  ","True","Thursby                                                                                             ","20644 Birchwood Way                                                             ","                                                                                ","V6D 1P4     ","Fort Wayne               ","VT                  ","United States of America","EXoxOMwRbSK ajeCNjiuEAxqzPKYpuNgBxxNMJrPYCXicCNNVXKbROeFROToBqgVhwndmvWzBJRbaCUzNDHKcljPkfRjItSquPfbNUqPQBDotrKSMsFnOLMmXRdTNwZsE                     ","1889-04-18T00:00:00.0000000","True","1","1967-01-05T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"34","5","Active    ","KRtMROFTkhVPydRKxEDtVV                                      ","Recreational Products                             ","BBB-","True","Basey                                                                                               ","11323 Clifton East                                                              ","                                                                                ","90229       ","Garden Grove             ","NC                  ","United States of America","PSEFWVRYboJDCCbkRDGNzIyyBMeYi l PU qbrWLFDMBJAeRxWX UWMRKCFDNeHyssAbznTMCAtMRmhLSocEznZAgUDJzcLHLaH                                                   ","1864-11-29T00:00:00.0000000","True","1","1967-01-07T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"35","6","Active    ","diqlqOsDpYaNQhSPBbXhMXocCDXEfNMfLDMDHOdpovsklTN             ","S&Ls/Savings Banks                                ","AA- ","True","Leopard                                                                                             ","3833 Princeton Crescent                                                         ","                                                                                ","40214       ","Phoenix                  ","RI                  ","Canada                  "," mzRDwfNsLqwBLQedZIFTCCxaOnKHqwyD cqovHXAqgIsnRUBakGDMKeOSGIZMrXApUqoqxDpgMcJwgPGDQURpTAzOSIkfOKRJGsPeJumOTYjDVLByShyjrMYFxSzPMlAxNHEHGzqTJnHMFmpFJK  ","1890-01-30T00:00:00.0000000","True","1","1967-01-08T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"36","7","Active    ","JaBRAUCPDCLITNXXrADVCSIopfxogeRFkYFvBVlr                    ","S&Ls/Savings Banks                                ","ZyG ","True","Aird                                                                                                ","19309 McFarlin North                                                            ","                                                                                ","60612       ","Little Rock              ","SC                  ","United States of America","EoxwpIaSiVNkSIbAPRUTUVAnyUQpVyHrLpJUULKOGxxWlAyDfPudALpC ncyZpcUBGLCEizruOCLzBEPhoVUADcFJOUdmJXBcgjCCpKQQFKjquitvKLtxRwQtQwISaS                       ","1903-04-11T00:00:00.0000000","True","1","1967-01-09T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"37","8","Active    ","AYrIhMoBIgUBkRdxKABPjIIShjxFyaWTAsK                         ","Air Courier                                       ","B-  ","True","Schindele                                                                                           ","9592 Carlingford Court                                                          ","                                                                                ","91910       ","Jersey City              ","NJ                  ","United States of America","CubhsavcGhxQbtcjOHVewfWPlDftSehpfEaHdXptufiuxQkpsXSswfCIUVhsrUlpFUeJJmHXvwJSJmWDfQHgWXqoYoIZRhlmU ZARuVfVQZATCT rMttK                                 ","1885-01-17T00:00:00.0000000","True","1","1967-01-11T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"38","9","Active    ","zZCyFkqieiPsUGvBJwvhXNW                                     ","Containers & Packaging                            ","AA- ","True","Kalafut                                                                                             ","1427 Addax Lane                                                                 ","                                                                                ","V6W 1U2     ","Berkeley                 ","Nova Scotia         ","United States of America","kHAfHUvzVZKjUOvZcFghDkcCDsFjH                                                                                                                         ","1965-10-25T00:00:00.0000000","True","1","1967-01-11T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"39","10","Active    ","rjkmNkyRrYnpSUDcOqIviweufHAQzFKBSXsYPAcKkbMbBVsEUWMNMRKJZK  ","Tires                                             ","BBB+","True","Nelson                                                                                              ","16547 Danvers Rue                                                               ","                                                                                ","94489       ","Palmdale                 ","AL                  ","United States of America","DSGKjAatPllQoVYFdO sxtAuqGWHxWCZjjFtsRjzLaZOAV                                                                                                        ","null","True","1","1967-01-13T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"40","11","Active    ","gDqcCBxupXLOeBnjyoDuJKKpXXazMTBejzLaoxVkzpfVHbeQYNnEL       ","Retail (Apparel)                                  ","AA+ ","True","Mckerchie                                                                                           ","22376 Burton Upper                                                              ","                                                                                ","10211       ","Lowell                   ","New Brunswick       ","Canada                  ","jruKsEtvzWUoVEbZQDmUboPYXQIFGSVdnRCBrcRACGbiGZRINHI IBLfMvShSpFJouITJcuQGbSmKLdaxfqPVWaIQViRHSMbFJoJGVPpVqZTJdqjZOIpQvcuCo                            ","1957-11-10T00:00:00.0000000","True","1","1967-01-14T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"41","12","Active    ","EOMpasJigJVvYQGKVcDPddEniaOUaTojpCAmYQrUeZJEGo              ","Water Transportation                              ","BBB ","True","Proud                                                                                               ","11167 Wolfe Way                                                                 ","                                                                                ","B1C 1X4     ","Memphis                  ","CO                  ","United States of America","LCJEKmvsuZzCLbvDuxiTEIDb                                                                                                                              ","1897-09-09T00:00:00.0000000","True","1","1967-01-15T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"42","13","Active    ","vnbESGDLPDBDVwsKNSXPqRYLGXjuxVJrQDsEcEVAYIyXWMFThaGbMIZNd   ","Motion Pictures                                   ","BB  ","True","Modha                                                                                               ","14719 North Rue                                                                 ","                                                                                ","10133       ","Montgomery               ","IA                  ","United States of America","OhFmCmqqcTnRKODFDpCttrIvGNSBdCJKxkmDNLeTBrCIHsQfFPeTvTKWPCJPFpJLGlSvHNJRTYkAVmTwBvGcCwGQHrRMgQotGZIYGmfRADEdIQKc                                      ","1965-12-03T00:00:00.0000000","True","1","1967-01-16T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"43","14","Active    ","UxwoFfdmLfKmuJCZStrMNOScJQzWthcXUUiyvsPHTsRlAJPOiKyvchxt    ","Retail (Drugs)                                    ","B+  ","True","Mantini                                                                                             ","24277 Pico Upper                                                                ","                                                                                ","35823       ","Anchorage                ","TX                  ","United States of America","iugHxskDEQORGLXHTHBgyWEWIrpgIQXkYiSNiouZINKVezIoRIfStLvfcrA ekjifGHetXpnnLSEmMuvNxtkxtLVADBTCDfJlBBuRRyrXtnzcJYpVeqf DFQETDDEPg                       ","1937-04-04T00:00:00.0000000","True","1","1967-01-18T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"44","15","Active    ","YGODXTYUYQHKSUzVdmTrHaaZEgiuZLXAwzvjFZMnWXdUSECjfiOJYU      ","Regional Banks                                    ","B   ","True","Launius                                                                                             ","15176 Purdue East                                                               ","                                                                                ","36638       ","Jersey City              ","WA                  ","United States of America","aqaCEbWGFxMDRkXNACaxqZjSu cERxcKLZEHBCVNyJIqHHAlGMGVQAKaiUHnCSMRFPwlGHRuZkZJscQlQPzIDWzACODYjsUtIIrSyXQpJjLRZyhbTPwyjmJXfCnQqEpwzXQ                   ","1871-03-22T00:00:00.0000000","True","1","1967-01-19T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"45","16","Active    ","BlzKUNpcdbxQGHwUAaQlIXGgyZmHnyRREOKBwpXvXwwWEOWiNJVMXWALS   ","Chemical Manufacturing                            ","CCC ","True","Galizia                                                                                             ","15927 Flagler Way                                                               ","                                                                                ","73140       ","Tucson                   ","WA                  ","United States of America","FOwdnLOyVOIyIMXSCmUmdEPFWnqJvQQnekukvmPxkRTh                                                                                                          ","1868-01-06T00:00:00.0000000","True","1","1967-01-19T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"46","17","Active    ","JOlePeOMqNiWFtIikbYCtGoucRYkTNggTpiDSTEocDbaMdhzl           ","Motion Pictures                                   ","DIq ","True","Mantini                                                                                             ","8357 Buckeye West                                                               ","                                                                                ","75237       ","New Haven                ","IN                  ","United States of America"," wuHpeHmnuetuEgRwMGICaiCmDMCSAkBhfHSehUwwJEhSgOdCZRGQFUcEBlQktlJISrPScVkJFGPrUPjIASwbISIG SMCgQwhmEQgBXBDsjisQPSVgTLRXPJluhDTWdkKEDrOqymIpLEeDzrsPn   ","1932-08-04T00:00:00.0000000","True","1","1967-01-20T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"47","18","Active    ","iAJNmDakgxlQcGOiloFqkXDmRxJezUSKSBPCvqFfSbAlV               ","Constr. - Supplies & Fixtures                     ","BBB ","True","Beverley                                                                                            ","16775 Pike East                                                                 ","                                                                                ","50309       ","Hull                     ","Ontario             ","Canada                  "," FWnrIwwvUgVGwQCooZxqRBqAqhqUpvHuNJwBjwsImTuBCMUdAqMIVpoChkLKEzLVOBMjBxPeEYAjKYQpBOGVTIhOZxtUYX jIpZTMXYTmwbGVIdRuFjKzJwPZV                           ","1867-06-20T00:00:00.0000000","True","1","1967-01-22T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"48","19","Active    ","lSBXSwESnnboFFeSvHxFjlfxrwIZABfGMjiWUbhTmnRHnPFOTMlMAQnZJA  ","Major Drugs                                       ","CCC ","True","Thursby                                                                                             ","2682 Lumber Park                                                                ","                                                                                ","80225       ","Santa Clara              ","DC                  ","Canada                  ","BAJD NFwWAUg                                                                                                                                          ","1930-04-30T00:00:00.0000000","True","1","1967-01-22T00:00:00.0000000","9999-12-31T00:00:00.0000000"
"49","20","Active    ","XdCwDlGsXFstGqdCIcNOKJfTOQPnoEeELXbNmwOl                    ","Computer Services                                 ","AA- ","True","Dengel                                                                                              ","2579 Creekbend Way                                                              ","Apt. 177                                                                        ","90053       ","Topeka                   ","DE                  ","United States of America","PbEXTLxQMjUFVigzlINmXkOMkKRDqdQLlcGKPE                                                                                                                ","1917-11-02T00:00:00.0000000","True","1","1967-01-23T00:00:00.0000000","9999-12-31T00:00:00.0000000"
